date,end_price,start_price,highest_price,lowest_price
1996.06.26,67700.0,67600.0,67900.0,66000.0
1996.06.27,66900.0,67500.0,67700.0,66700.0
1996.06.28,68100.0,67300.0,68500.0,67200.0
1996.06.29,68500.0,68100.0,69100.0,67100.0
1996.07.01,72000.0,69000.0,72300.0,68800.0
1996.07.02,72900.0,72000.0,74100.0,72000.0
1996.07.03,72500.0,72900.0,73200.0,71700.0
1996.07.04,71900.0,72800.0,73000.0,71500.0
1996.07.05,71300.0,72000.0,72300.0,71000.0
1996.07.06,71500.0,71300.0,72700.0,71300.0
1996.07.08,70900.0,71600.0,71600.0,70800.0
1996.07.09,71700.0,70900.0,71700.0,70100.0
1996.07.10,70600.0,71700.0,72000.0,70500.0
1996.07.11,68800.0,70600.0,70800.0,68500.0
1996.07.12,68800.0,68800.0,70000.0,68300.0
1996.07.13,68900.0,69000.0,69500.0,68900.0
1996.07.15,68000.0,69000.0,69500.0,68000.0
1996.07.16,68800.0,67000.0,69100.0,66500.0
1996.07.18,70000.0,69000.0,72000.0,68900.0
1996.07.19,74200.0,70000.0,74200.0,70000.0
1996.07.20,76700.0,75700.0,78600.0,74200.0
1996.07.22,75000.0,76100.0,77400.0,75000.0
1996.07.23,74700.0,75000.0,75200.0,73600.0
1996.07.24,72500.0,74800.0,75500.0,72500.0
1996.07.25,70000.0,71500.0,71900.0,69500.0
1996.07.26,69800.0,70000.0,71000.0,69600.0
1996.07.27,70300.0,69800.0,71000.0,69100.0
1996.07.29,70800.0,70300.0,71600.0,70300.0
1996.07.30,70200.0,70800.0,70800.0,69300.0
1996.07.31,70000.0,70200.0,70500.0,69700.0
1996.08.01,70200.0,71000.0,71000.0,70000.0
1996.08.02,70100.0,70200.0,70500.0,69800.0
1996.08.03,70100.0,70000.0,70100.0,69500.0
1996.08.05,71000.0,69900.0,71000.0,69800.0
1996.08.06,71300.0,70000.0,72000.0,70000.0
1996.08.07,71300.0,71300.0,71800.0,71000.0
1996.08.08,73800.0,72000.0,75400.0,71600.0
1996.08.09,71800.0,72500.0,73000.0,71500.0
1996.08.10,70600.0,71500.0,71600.0,70500.0
1996.08.12,70400.0,70000.0,71000.0,70000.0
1996.08.13,70400.0,70400.0,70500.0,69600.0
1996.08.14,69600.0,70000.0,70000.0,69600.0
1996.08.16,71900.0,70600.0,71900.0,70300.0
1996.08.17,70900.0,71900.0,71900.0,70700.0
1996.08.19,69700.0,70900.0,71000.0,69600.0
1996.08.20,69900.0,69700.0,70600.0,69500.0
1996.08.21,71000.0,69700.0,72000.0,69500.0
